Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address ,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
Devin Hughes,75,71,1944,8,Male,5934 Essex Boulevard,Lexington,KY,40508,38.04,-84.45,"$14,920 ","$20,797 ","$10,127 ",777,1
Zyaire Baker,76,69,1943,8,Male,765 Forest Street Apt. 1,Hopkins,MN,55305,44.92,-93.4,"$39,155 ","$38,800 ","$25,867 ",758,7
Axton Fox,51,68,1968,3,Male,572 Mountain View Lane,Roanoke,VA,24017,37.27,-79.95,"$14,528 ","$29,622 ","$17,385 ",694,3
Isabela Bennett,88,65,1931,10,Female,42 Fourth Avenue,Shelbyville,KY,40065,38.21,-85.23,"$19,620 ","$31,399 ","$2,528 ",757,4
Yamileth Rivera,48,66,1971,5,Female,328 Birch Street,Severn,MD,21144,39.13,-76.69,"$31,075 ","$63,355 ",$0 ,708,5
Zariah Peterson,19,71,2000,12,Female,76 Birch Drive,Jefferson,TX,75657,32.76,-94.34,"$15,299 ","$31,197 ","$84,749 ",844,2
Valerio Price,38,67,1981,3,Male,683 Washington Street Apt. 237,Huntington,NY,11743,40.87,-73.4,"$51,032 ","$104,049 ","$247,623 ",741,2
Joel Fu,35,69,1984,5,Male,215 Plum Boulevard Apt. 46,El Paso,TX,79912,31.84,-106.43,"$24,608 ","$50,177 ","$101,323 ",681,4
Juliet Gao,40,64,1979,12,Female,5899 Mill Street,Ninety Six,SC,29666,34.17,-82.02,"$16,843 ","$34,344 ","$48,931 ",548,1
Lilianna Farhad,31,72,1989,1,Female,9316 Hillside Lane Apt. 314,Harrisburg,PA,17113,40.27,-76.88,"$17,110 ","$34,884 ","$26,799 ",705,5
Zaria Lee,33,69,1986,3,Female,2552 Forest Avenue,Hampstead,MD,21074,39.61,-76.85,"$27,906 ","$56,897 ",$0 ,699,5
Alia Stewart,38,72,1981,10,Female,89 Washington Boulevard,Wilmington,DE,19803,39.73,-75.53,"$35,630 ","$72,647 ","$90,579 ",739,1
Quinn Brown,49,66,1970,8,Male,9383 Martin Luther King Street,Mobile,AL,36695,30.68,-88.04,"$25,381 ","$51,755 ","$88,605 ",806,1
Layton White,60,66,1959,11,Male,175 Valley Drive,Wayland,MA,1778,42.36,-71.36,"$56,632 ","$115,465 ","$195,657 ",715,4
Uriel Parker,18,70,2002,1,Male,729 Wessex Drive,Fort Myers,FL,33907,26.63,-81.85,"$17,522 ","$35,731 ","$71,825 ",503,2
Aranza Brooks,18,70,2002,2,Female,5263 Little Creek Drive,Lake Mary,FL,32746,28.75,-81.33,"$31,847 ","$64,936 ","$107,755 ",688,2
Izaiah Fu,24,68,1995,3,Male,4973 Martin Luther King Lane Apt. 7,Reno,NV,89521,39.38,-119.67,"$30,757 ","$62,711 ","$68,777 ",798,3
Madelyn Labelle,41,68,1978,7,Female,26 Valley Stream Drive Apt. 9,Pleasantville,NJ,8232,39.39,-74.51,"$15,157 ","$30,910 ","$42,507 ",749,4
Madden Hill,27,71,1992,11,Male,79 Sixth Avenue Apt. 4054,Port Orchard,WA,98366,47.54,-122.58,"$21,219 ","$43,264 ","$89,798 ",729,1
Gustavo Fisher,18,67,2001,11,Male,13 Main Boulevard Apt. 92,Suisun City,CA,94585,38.16,-121.93,"$23,990 ","$48,909 ","$71,310 ",740,2
Emery Garcia,32,71,1987,11,Female,670 Tenth Drive,Glen Ellyn,IL,60137,41.86,-88.06,"$42,028 ","$85,694 ","$120,733 ",822,2
Ingrid Thomas,81,68,1938,4,Female,864 Main Lane,Fort Gibson,OK,74434,35.78,-95.24,"$18,585 ","$27,864 ","$1,371 ",591,6
Ephraim Wright,21,68,1998,4,Male,5263 Fifth Avenue Apt. 7,Appleton,WI,54914,44.26,-88.39,"$21,828 ","$44,513 ","$105,303 ",778,6
Elena Anwar,27,69,1992,6,Female,5048 Catherine Drive,Charlottesville,VA,22903,38.03,-78.48,"$28,459 ","$58,026 ","$133,169 ",691,1
Addilynn Bell,18,70,2001,5,Female,9085 West Drive Apt. 8,Boerne,TX,78006,29.8,-98.73,"$31,193 ","$63,600 ","$102,773 ",645,1
Brenna Ramirez,19,75,2000,7,Female,640 Bayview Street,Canton,MS,39046,32.61,-90.03,"$15,597 ","$31,797 ","$5,400 ",843,2
Baylee Roman,40,66,1979,10,Female,3539 Lincoln Boulevard,Richmond,CA,94804,37.92,-122.34,"$21,869 ","$44,585 ","$81,825 ",684,5
Monroe Sanders,51,67,1968,11,Female,6541 Fourth Drive,Nixa,MO,65714,37.04,-93.29,"$20,316 ","$41,427 ","$53,773 ",850,3
Alayah Neufelder,51,72,1968,10,Female,4514 Elm Street,West Columbia,SC,29172,33.99,-81.08,"$16,928 ","$34,517 ","$74,143 ",645,2
Malia Jones,50,65,1970,2,Female,655 Federal Avenue,Pleasant Grove,UT,84062,40.46,-111.63,"$21,232 ","$43,294 ","$104,521 ",816,7
Frida White,27,66,1992,9,Female,8440 Park Drive,Lafayette,CO,80026,39.99,-105.09,"$30,072 ","$61,317 ",$0 ,741,3
Rodrigo Rodriguez,68,65,1951,12,Male,46 Lincoln Lane Apt. 6,Long Beach,CA,90808,33.82,-118.11,"$32,079 ","$50,184 ","$27,778 ",732,4
Simeon Cruz,47,75,1972,10,Male,130 Lincoln Drive Apt. 159,Nashport,OH,43830,40.04,-82.12,"$21,156 ","$43,133 ","$44,263 ",693,3
Monserrat Collins,23,65,1996,12,Female,359 Tenth Avenue,Sioux City,IA,51104,42.5,-96.39,"$21,757 ","$44,361 ","$71,031 ",705,1
Jennifer Thomas,57,66,1962,9,Female,381 Catherine Avenue,Compton,CA,90222,33.91,-118.23,"$13,075 ","$26,664 ","$12,241 ",709,4
Talia Chen,85,65,1934,6,Female,23 11th Avenue,Virginia Beach,VA,23451,36.73,-76.04,"$29,485 ","$41,843 ","$1,741 ",500,3
Milan Perez,22,70,1998,2,Male,440 Littlewood Drive,Melbourne,FL,32940,28.08,-80.6,"$24,500 ","$49,952 ","$95,184 ",780,1
Nova Butler,26,60,1993,3,Male,118 Mountain View Lane Apt. 2,Lake Zurich,IL,60047,42.19,-88.08,"$48,986 ","$99,883 ","$171,034 ",732,1
Sophia Perez,40,65,1979,3,Female,57 West Boulevard,Ferdinand,IN,47532,38.22,-86.86,"$18,898 ","$38,527 ","$36,933 ",684,2
Gloria Kelley,32,63,1988,1,Female,7096 Park Street Apt. 137,Springfield,VT,5156,43.28,-72.47,"$18,013 ","$36,729 ","$48,624 ",686,3
Emmie Anwar,63,67,1957,2,Female,861 Martin Luther King Boulevard Apt. 8,Buffalo,NY,14215,42.88,-78.85,"$14,456 ","$29,477 ","$56,355 ",850,4
Clay Evans,52,65,1967,9,Male,123 Ocean View Street,Rancho Cordova,CA,95742,38.57,-121.17,"$35,137 ","$71,645 ","$155,006 ",629,3
Georgia Brown,62,65,1957,9,Female,956 Lincoln Boulevard,Brooklyn,NY,11235,40.64,-73.94,"$22,674 ","$46,232 ","$68,957 ",691,4
Sally Roberts,20,66,1999,5,Female,489 Fourth Drive,Michigan City,IN,46360,41.71,-86.87,"$18,036 ","$36,775 ","$102,641 ",850,3
Princeton Ramirez,41,65,1978,12,Male,6515 Hillside Drive Apt. 10,Challis,ID,83226,44.65,-114.15,"$19,036 ","$38,812 ","$16,331 ",762,4
Astrid Price,20,67,1999,11,Female,5789 Ninth Drive,Ozone Park,NY,11417,40.69,-73.85,"$19,682 ","$40,130 ","$55,801 ",798,1
Harlow Turner,38,66,1981,11,Female,1583 Grant Lane Apt. 1,Brentwood,NY,11717,40.78,-73.24,"$17,679 ","$36,045 ",$0 ,683,3
Magdalena Jenkins,52,73,1968,2,Female,292 Maple Drive,Somerset,NJ,8873,40.49,-74.48,"$32,610 ","$66,489 ","$83,828 ",731,2
Andi Bailey,31,72,1989,2,Female,5065 Catherine Drive,Estacada,OR,97023,45.2,-122.06,"$20,343 ","$41,475 ",$0 ,747,2
Wilder Hughes,56,68,1963,7,Male,273 Ocean Street,Ridgefield,WA,98642,45.79,-122.69,"$27,308 ","$55,682 ","$82,696 ",750,4
Pearl Carter,51,68,1968,5,Female,23 12th Boulevard,Osprey,FL,34229,27.19,-82.49,"$28,272 ","$57,646 ","$127,892 ",724,4
Rachel Gomez,19,68,2000,9,Female,1464 Bayview Street,Odessa,TX,79764,31.85,-102.36,"$19,399 ","$39,556 ","$132,573 ",572,1
Miller Howard,36,67,1983,12,Male,83 Sixth Drive,San Diego,CA,92102,32.72,-117.09,"$16,838 ","$34,330 ","$15,223 ",713,4
Walker Peres,82,71,1937,4,Male,62696 Norfolk Drive,Quincy,FL,32352,30.65,-84.69,"$15,069 ","$10,142 ","$1,809 ",767,7
Randall Long,30,60,1989,10,Male,105 Seventh Street,Columbia,MD,21044,39.2,-76.85,"$37,697 ","$76,867 ","$118,029 ",659,1
Amirah Ryan,22,68,1997,6,Female,5138 Park Drive,Homewood,IL,60430,41.55,-87.66,"$25,689 ","$52,379 ","$107,734 ",771,3
Kyrie Murphy,39,64,1980,10,Male,2411 Hillside Lane Apt. 5,Newburgh,IN,47630,37.94,-87.4,"$28,126 ","$57,348 ","$119,230 ",527,3
Lawson Gray,49,70,1970,3,Male,2248 Third Avenue Apt. 918,Chattanooga,TN,37416,35.06,-85.25,"$18,658 ","$38,041 ","$27,813 ",782,4
Cassidy Anwar,28,70,1991,3,Female,19 El Camino Drive Apt. 1,Phoenix,AZ,85022,33.62,-112.05,"$26,023 ","$53,053 ","$42,396 ",696,2
Dexter Murphy,35,65,1984,5,Male,5094 Lafayette Boulevard,Celina,OH,45822,40.55,-84.57,"$18,077 ","$36,857 ","$3,112 ",768,3
Abby Wood,54,72,1965,3,Female,6016 Little Creek Boulevard,Seattle,WA,98122,47.61,-122.3,"$37,485 ","$76,431 ","$115,362 ",716,5
Dalton Fisher,78,68,1941,7,Male,34533 Ninth Avenue Apt. 3,Bloomington,CA,92316,34.06,-117.39,"$14,709 ","$18,100 ",$0 ,682,6
Teresa Adams,45,61,1974,5,Female,94936 Elm Drive,Lady Lake,FL,32159,28.92,-81.92,"$8,155 ","$16,628 ","$33,926 ",654,1
Duke Barnes,79,66,1941,2,Male,132 Lexington Drive Apt. 39,Bullock,NC,27507,36.5,-78.55,"$18,100 ","$29,041 ","$4,427 ",699,4
June Torres,47,64,1972,12,Female,27 Summit Street Apt. 56,Monroe,NC,28112,34.98,-80.54,"$17,595 ","$35,876 ","$50,190 ",635,3
Kemal Bell,19,67,2000,3,Male,32 First Lane,Verona,NJ,7044,40.83,-74.24,"$40,216 ","$81,995 ","$133,788 ",685,2
Ava Evans,50,70,1969,9,Female,671 West Drive,Minneapolis,MN,55419,44.96,-93.26,"$40,364 ","$82,298 ",$0 ,791,4
Azariah Turner,30,62,1989,8,Male,71682 Catherine Street,Ft Mitchell,KY,41017,39.02,-84.56,"$30,367 ","$61,916 ","$165,886 ",655,4
Xiomara Murphy,56,70,1964,2,Female,7728 Oak Drive,Little Rock,AR,72204,34.72,-92.35,"$14,736 ","$30,042 ","$9,208 ",727,4
Opal Hall,55,61,1964,9,Female,1513 Valley Boulevard,Fairfield,OH,45014,39.33,-84.54,"$21,992 ","$44,839 ","$63,194 ",625,3
Koa Smith,25,74,1994,12,Male,972 Spruce Avenue Apt. 4,Fort Lauderdale,FL,33324,26.14,-80.13,"$29,740 ","$60,638 ","$132,252 ",661,1
Meredith Carter,26,64,1994,1,Female,4631 Plum Avenue,Cleveland,OH,44102,41.47,-81.67,"$14,737 ","$30,049 ","$80,474 ",700,1
Carolyn Cooper,54,65,1965,8,Female,7561 Littlewood Street,Waterloo,IA,50703,42.49,-92.35,"$14,568 ","$29,699 ","$6,569 ",711,3
Esteban Taylor,29,66,1990,5,Male,1598 Elm Street,Anchorage,AK,99508,61.2,-149.82,"$20,519 ","$41,836 ","$60,302 ",615,2
Butch El-Mafouk,55,68,1964,11,Male,541 Tenth Street Apt. 79,Los Angeles,CA,90037,34,-118.28,"$11,329 ","$23,103 ","$63,635 ",681,3
Elisha Bailey,72,70,1947,5,Male,4388 Hillside Street,Ellicott City,MD,21043,39.27,-76.83,"$39,053 ","$57,513 ","$11,755 ",793,5
Leia Butler,66,68,1953,3,Female,644 South Drive,Memphis,TN,38134,35.1,-90,"$18,759 ","$38,249 ",$0 ,746,4
Hayley Taylor,41,65,1978,3,Female,858 Jefferson Avenue,Suffolk,VA,23434,36.7,-76.63,"$20,353 ","$41,496 ","$9,222 ",807,2
Mackenzie Green,24,70,1995,8,Female,229 River Avenue,Butler,NJ,7405,40.99,-74.34,"$44,540 ","$90,812 ","$175,569 ",850,3
Alfredo Brown,35,67,1984,6,Male,7794 Ocean Street,Mesilla Park,NM,88047,32.27,-106.61,"$14,822 ","$30,217 ","$23,394 ",705,4
Savannah Nguyen,29,66,1990,11,Female,828 Little Creek Boulevard Apt. 9,O Fallon,MO,63368,38.78,-90.7,"$30,202 ","$61,581 ","$241,312 ",736,2
Jalen Neufelder,53,67,1966,6,Male,817 Forest Street,Jacksonville,AR,72076,34.86,-92.12,"$16,462 ","$33,566 ","$96,597 ",698,1
Alexia Reyes,66,68,1953,3,Female,804 Sixth Boulevard,Seguin,TX,78155,29.57,-97.96,"$17,440 ","$35,560 ","$60,397 ",723,5
June Reyes,21,67,1998,11,Female,218 East Street Apt. 1,Glendora,CA,91741,34.14,-117.85,"$31,699 ","$64,630 ","$92,847 ",751,2
Hazel Robinson,67,60,1952,11,Female,563 Birch Drive,Dacula,GA,30019,33.98,-83.88,"$26,767 ","$57,705 ","$22,475 ",684,3
Alfred King,58,71,1961,5,Male,663 Second Boulevard Apt. 3544,San Benito,TX,78586,26.13,-97.63,"$11,844 ","$24,155 ","$2,870 ",802,3
Thaddeus Sanchez,27,71,1993,1,Male,5514 Norfolk Boulevard,Huron,TN,38345,35.58,-88.5,"$17,179 ","$35,026 ","$11,468 ",743,5
Heidi Baker,29,70,1990,3,Female,587 East Lane,Sanford,NC,27332,35.36,-79.13,"$17,854 ","$36,404 ","$11,745 ",726,3
Tucker White,50,60,1969,5,Male,659 Valley Drive,Salisbury,NC,28147,35.66,-80.48,"$18,724 ","$38,179 ","$50,559 ",609,2
Audrina Thompson,36,65,1983,3,Female,4137 Bayview Drive,Bellaire,TX,77401,29.7,-95.46,"$79,100 ","$161,276 ","$317,964 ",540,1
Randy Merkel,31,66,1988,6,Male,693 Seventh Street,Sherman,TX,75090,33.61,-96.6,"$15,737 ","$32,086 ","$53,595 ",747,4
Kira Wood,22,69,1997,3,Female,398 Park Boulevard,Chicago,IL,60637,41.83,-87.68,"$18,395 ","$37,505 ","$57,014 ",714,3
Hannah Perry,69,73,1951,2,Female,55 El Camino Boulevard,Turlock,CA,95382,37.53,-120.84,"$22,799 ","$46,487 ","$57,336 ",635,3
Anya Hughes,23,65,1996,7,Female,4343 Mountain View Boulevard Apt. 2,Spearfish,SD,57783,44.48,-103.84,"$18,583 ","$37,891 ","$66,163 ",749,1
Rory Nelson,54,67,1965,3,Female,401 North Avenue Apt. 6989,Lafayette,CO,80026,39.99,-105.09,"$30,072 ","$61,312 ","$25,355 ",708,3
Yousef Barnes,46,59,1973,4,Male,8750 Lake Boulevard,Chardon,OH,44024,41.57,-81.2,"$25,565 ","$52,130 ","$80,367 ",701,1
Makayla Garcia,27,61,1993,1,Female,883 Federal Street Apt. 240,Depew,NY,14043,42.91,-78.7,"$19,983 ","$40,744 ","$50,803 ",717,1
Marianna Cruz,86,65,1933,6,Female,143 Catherine Boulevard,Kaneohe,HI,96744,21.41,-157.79,"$24,516 ","$49,529 ","$1,385 ",689,6
Karson Green,76,63,1943,12,Male,343 Lafayette Drive,Derby,KS,67037,37.54,-97.25,"$24,531 ","$41,790 ","$24,676 ",719,5
June Morales,81,57,1939,1,Female,482 Grant Street,Baldwin Park,CA,91706,34.09,-117.96,"$15,775 ","$29,928 ","$2,028 ",713,4
Paula Gray,47,67,1972,5,Female,3816 Spruce Drive Apt. 53,Copiague,NY,11726,40.67,-73.39,"$21,077 ","$42,976 ","$58,765 ",748,3
Shaun Jenkins,40,68,1979,3,Male,9594 Burns Lane,Thomson,GA,30824,33.46,-82.5,"$15,755 ","$32,126 ","$56,283 ",770,3
Tristan Powell,56,69,1963,4,Male,4966 Grant Street,Canal Fulton,OH,44614,40.89,-81.58,"$22,170 ","$45,202 ","$71,022 ",683,4
Kenia Perry,20,65,1999,3,Female,7132 Rose Avenue,Cape Coral,FL,33904,26.63,-81.99,"$17,120 ","$34,907 ","$64,107 ",742,3
Korbin Torres,27,65,1992,4,Male,238 Eighth Avenue,Cambridge Springs,PA,16403,41.8,-80.06,"$16,965 ","$34,591 ","$65,770 ",688,2
Payton Neufelder,22,69,1997,3,Female,7318 Mill Lane Apt. 95,Richlands,NC,28574,34.89,-77.54,"$15,661 ","$31,933 ","$65,405 ",746,1
Antonio Abe,42,70,1978,2,Male,9566 Tenth Street Apt. 4,Pflugerville,TX,78660,30.44,-97.62,"$25,584 ","$52,165 ","$97,248 ",730,4
Christina Lee,58,64,1961,8,Female,416 Madison Street Apt. 30,Uhrichsville,OH,44683,40.4,-81.35,"$14,477 ","$29,519 ","$45,597 ",643,3
Emerson Richardson,57,67,1962,5,Male,5079 Sussex Avenue,Mitchell,IN,47446,38.73,-86.47,"$15,981 ","$32,583 ","$12,501 ",812,7
Jedidiah Rodriguez,37,65,1982,7,Male,3914 Mill Street,Prairieville,LA,70769,30.3,-90.97,"$29,006 ","$59,139 ","$128,870 ",742,4
Lewis Martinez,44,64,1975,10,Male,7815 Hillside Avenue,Houston,TX,77058,29.76,-95.38,"$30,499 ","$62,185 ","$114,235 ",749,1
Howard Abe,22,67,1997,6,Male,2429 Eighth Avenue,Albany,OR,97322,44.63,-123,"$17,561 ","$35,800 ","$65,841 ",753,2
Marshall Clark,26,71,1993,10,Male,4379 Lake Avenue,Laurel,MD,20723,39.09,-76.85,"$35,553 ","$72,485 ","$31,605 ",691,2
Kaliyah Lee,24,65,1995,3,Female,215 Elm Lane,Ventura,CA,93003,34.28,-119.22,"$25,524 ","$52,036 ","$26,232 ",703,3
Brian Cruz,33,67,1986,7,Male,67424 Tenth Boulevard,Kalamazoo,MI,49048,42.24,-85.48,"$17,409 ","$35,499 ","$80,517 ",724,1
Blaine Diaz,44,65,1976,1,Male,3675 Bayview Drive Apt. 1,Dunlap,TN,37327,35.37,-85.38,"$15,209 ","$31,015 ","$103,094 ",737,2
Wayne Robinson,79,65,1940,11,Male,127 Valley Boulevard,San Diego,CA,92122,32.85,-117.2,"$34,848 ","$53,222 ","$23,051 ",640,1
Kora Barnes,56,69,1963,6,Female,9603 South Lane,Short Hills,NJ,7078,40.74,-74.33,"$137,428 ","$280,199 ","$91,367 ",752,5
Davis Jenkins,48,67,1971,6,Male,604 Pine Street,Burlington,IA,52601,40.8,-91.12,"$18,076 ","$36,853 ","$112,139 ",834,5
Craig Labelle,22,70,1998,2,Male,79 Burns Drive,Fairview,NJ,7022,40.81,-74,"$18,392 ","$37,497 ",$0 ,695,1
Noor Johnson,88,66,1931,10,Female,41740 First Street,Wayne,NJ,7470,40.94,-74.24,"$37,030 ","$31,828 ","$3,777 ",593,3
Estella Fu,49,68,1970,7,Female,530 Main Boulevard Apt. 58,League City,TX,77573,29.48,-95.1,"$35,246 ","$71,866 ","$132,580 ",662,1
Beckett Gonzalez,62,69,1957,8,Male,702 Elm Drive,Watsonville,CA,95076,36.95,-121.72,"$16,920 ","$34,496 ","$33,122 ",731,5
Alondra White,74,71,1946,1,Female,4 Plum Boulevard Apt. 4,North Richland Hills,TX,76180,32.86,-97.21,"$26,016 ","$39,003 ","$10,793 ",788,5
Kaiden Morgan,68,64,1951,3,Male,29 Federal Boulevard Apt. 7,Los Angeles,CA,90033,34.04,-118.21,"$12,349 ","$11,566 ","$9,102 ",536,4
Anna Nelson,45,71,1974,12,Female,627 Ninth Drive,Atlanta,GA,30317,33.74,-84.31,"$25,586 ","$52,172 ","$66,085 ",667,4
Keith Bell,91,66,1928,3,Male,120 Lafayette Boulevard,Pompano Beach,FL,33060,26.23,-80.13,"$18,266 ","$40,141 ",$805 ,850,6
Jeffery Farhad,48,66,1971,5,Male,2981 Ninth Boulevard,Latrobe,PA,15650,40.31,-79.38,"$19,486 ","$39,733 ","$79,302 ",781,4
Miriam Phillips,29,65,1991,2,Female,8463 Second Street,Waynesville,OH,45068,39.53,-84.08,"$25,333 ","$51,651 ","$22,705 ",801,3
Addilynn Garcia,22,64,1997,3,Female,814 Washington Street Apt. 67,Tempe,AZ,85283,33.36,-111.93,"$24,122 ","$49,190 ","$122,458 ",630,1
Demetrius Murphy,42,68,1977,11,Male,8580 Valley Stream Avenue,Martinsburg,WV,25401,39.46,-77.96,"$18,003 ","$36,711 ","$84,949 ",739,4
Mateo Howard,22,61,1997,5,Male,666 Lafayette Lane,Halethorpe,MD,21227,39.21,-76.72,"$22,728 ","$46,344 ","$66,994 ",732,3
Easton Cruz,26,71,1993,3,Male,4872 Lexington Avenue,Doylestown,PA,18902,40.36,-75.09,"$49,534 ","$100,991 ",$0 ,722,3
Kassidy Reyes,62,65,1957,6,Female,1305 Spruce Boulevard Apt. 7,Belle Fourche,SD,57717,44.66,-103.85,"$16,097 ","$32,819 ","$25,393 ",826,5
Aron Roman,30,62,1989,8,Male,437 Madison Street,Chicago,IL,60626,41.83,-87.68,"$23,446 ","$47,803 ","$81,929 ",652,1
Gordon Neufelder,44,69,1975,9,Male,919 Lafayette Drive,Medford,OR,97504,42.33,-122.79,"$18,961 ","$38,661 ","$88,636 ",765,3
Dakota Allen,45,66,1974,4,Male,3346 Hillside Street Apt. 24,Douglassville,PA,19518,40.26,-75.74,"$28,278 ","$57,658 ","$74,288 ",766,5
Belen Reyes,45,69,1974,5,Female,9891 Valley Drive,Belzoni,MS,39038,33.17,-90.48,"$10,909 ","$22,249 ","$20,420 ",789,3
Zariyah Myers,38,68,1982,2,Female,731 Lincoln Boulevard,Boca Raton,FL,33486,26.37,-80.1,"$31,706 ","$64,647 ","$58,250 ",738,4
Lilyana Fernandez,32,64,1987,10,Female,1782 South Boulevard,Beacon Falls,CT,6403,41.44,-73.04,"$28,814 ","$58,749 ","$113,308 ",768,6
Blaire Bailey,46,68,1973,12,Female,8070 Mill Lane,Saint George,UT,84770,37.18,-113.6,"$14,470 ","$29,510 ","$47,153 ",752,4
Malaya Sanchez,53,65,1966,3,Female,696 Oak Boulevard,Fresno,CA,93710,36.81,-119.75,"$17,985 ","$36,672 ","$99,454 ",655,2
Raquel Jackson,41,61,1979,1,Female,1063 Federal Boulevard Apt. 8302,Canton,MA,2021,42.15,-71.13,"$38,878 ","$79,271 ","$211,919 ",759,1
Isabella Hall,35,68,1985,1,Female,955 11th Street,High Springs,FL,32643,29.82,-82.59,"$19,693 ","$40,156 ","$70,128 ",738,3
Maryam Rivera,30,58,1989,4,Female,341 Hill Drive,Saint Louis,MO,63129,38.63,-90.24,"$28,373 ","$57,853 ","$131,828 ",558,4
Jessica Reed,73,64,1946,9,Female,862 Martin Luther King Drive,Germantown,MD,20874,39.17,-77.26,"$33,637 ","$37,789 ","$24,575 ",605,3
Cullen Ryan,61,63,1958,10,Male,9525 First Boulevard,Longview,TX,75604,32.51,-94.76,"$20,531 ","$41,865 ","$60,911 ",676,4
Mack Merkel,66,69,1953,3,Male,602 First Street,Strongsville,OH,44149,41.31,-81.85,"$30,381 ","$61,937 ","$138,153 ",684,7
Lucinda Xi,32,67,1987,7,Female,698 11th Lane Apt. 69,Washington,NC,27889,35.55,-77.05,"$15,827 ","$32,274 ","$72,974 ",545,1
Bennett Cruz,48,71,1971,3,Male,9570 North Drive,Rutherford,NJ,7070,40.81,-74.1,"$37,170 ","$75,785 ","$117,920 ",814,3
Kameron Rodriguez,50,64,1969,4,Male,9762 Pine Street,Fletcher,NC,28732,35.43,-82.5,"$22,345 ","$45,560 ","$79,660 ",644,3
Marissa Torres,46,67,1973,3,Female,778 Main Avenue,Kimberly,WI,54136,44.27,-88.34,"$20,013 ","$40,810 ","$65,643 ",614,4
Lyric Gomez,58,67,1961,11,Male,669 Wessex Lane,Bigelow,AR,72016,34.99,-92.63,"$18,817 ","$38,371 ","$50,530 ",703,3
Salma Rogers,46,67,1973,10,Female,31 Oak Avenue,Columbia,SC,29229,34,-81.03,"$23,917 ","$48,762 ","$143,208 ",771,6
Blaine Scott,26,61,1994,2,Male,4840 Summit Lane,Rescue,CA,95672,38.72,-121,"$28,660 ","$58,435 ","$134,789 ",666,2
Emmanuel Wood,48,68,1971,7,Male,1772 Essex Boulevard,Vinton,VA,24179,37.27,-79.88,"$19,188 ","$39,124 ","$66,231 ",722,4
Luciano Wilson,50,65,1970,1,Male,720 Seventh Avenue Apt. 9,Camas,WA,98607,45.64,-122.37,"$31,226 ","$63,673 ","$147,913 ",591,4
Lila Neufelder,34,65,1985,11,Female,5449 Lexington Drive,Garden Grove,CA,92840,33.78,-117.93,"$18,679 ","$38,081 ","$28,613 ",811,4
Rose Fu,23,61,1996,11,Female,5459 El Camino Avenue,Blacksburg,SC,29702,35.12,-81.51,"$14,443 ","$29,450 ","$36,002 ",692,1
Katherine Burns,56,65,1963,12,Female,291 Seventh Drive,Hudson,IL,61748,40.6,-88.98,"$28,237 ","$57,576 ","$161,107 ",589,2
Amari Martin,31,70,1988,8,Female,9833 Forest Street,Lawton,OK,73505,34.6,-98.42,"$16,829 ","$34,311 ","$6,971 ",680,4
Alison Parker,63,65,1956,11,Female,891 El Camino Lane,Pompano Beach,FL,33062,26.23,-80.13,"$26,530 ","$54,095 ","$76,109 ",753,3
Sally Fisher,24,65,1995,9,Female,162 Rose Drive,Stockton,CA,95205,37.96,-121.26,"$12,089 ","$24,648 ","$32,962 ",600,1
Dayana Fox,37,61,1982,8,Female,1059 Elm Avenue Apt. 8,Brighton,CO,80602,39.95,-104.9,"$32,793 ","$66,863 ","$89,031 ",673,1
Gemma Cooper,61,68,1959,1,Female,475 Oak Boulevard,Charlotte,NC,28212,35.19,-80.83,"$14,793 ","$30,165 ","$36,972 ",694,2
Lennon Lewis,53,67,1966,6,Male,822 Ocean Street,Hinsdale,IL,60521,41.8,-87.92,"$92,938 ","$189,490 ","$448,929 ",717,3
Madelynn Abe,19,68,2000,3,Female,671 George Drive,Georgetown,KY,40324,38.2,-84.55,"$23,827 ","$48,582 ","$189,348 ",546,1
Derrick Sadr,84,65,1935,12,Male,6478 Valley Stream Avenue,Levittown,PA,19054,40.15,-74.85,"$23,207 ","$26,476 ",$406 ,813,5
Cayden Murphy,39,69,1980,11,Male,6405 Fifth Avenue Apt. 386,Manchester,NH,3104,42.99,-71.45,"$27,706 ","$56,486 ","$116,394 ",689,2
Heaven Wright,59,71,1960,3,Female,85 Littlewood Avenue,San Antonio,TX,78217,29.45,-98.5,"$17,609 ","$35,906 ","$69,819 ",659,3
Perla Myers,19,61,2000,4,Female,528 Spruce Lane Apt. 7,Chesterton,IN,46304,41.6,-87.05,"$27,261 ","$55,587 ","$151,141 ",621,2
Paula Leroux,21,67,1998,4,Female,100 Seventh Drive,Florence,WI,54121,45.93,-88.25,"$18,016 ","$36,733 ",$0 ,761,3
Iliana Brown,48,66,1971,11,Female,58 Catherine Drive,Omaha,NE,68136,41.26,-96.01,"$33,232 ","$67,761 ",$0 ,745,4
Emiliano White,57,56,1963,2,Male,919 Lafayette Avenue,Murfreesboro,TN,37129,35.85,-86.39,"$22,760 ","$36,282 ","$14,141 ",725,1
Brenda Masvidal,46,68,1973,7,Female,75 Birch Lane Apt. 691,Palm Beach Gardens,FL,33410,26.74,-80.12,"$27,696 ","$56,467 ","$66,565 ",688,3
